dependent.var,repeat.var.value,population.group,numbers
h3_xvi,deir_balah,all,0.159076815
h3_xvi,gaza,all,0.301890659
h3_xvi,rafah,all,0.194962899
h3_xvi,north_gaza,all,0.161922791
h3_xvii,khan_yunis,all,0.012468073
h3_xvii,deir_balah,all,0.006851978
h3_xvii,gaza,all,0.02383733
h3_xvii,rafah,all,0.038866751
h3_xvii,north_gaza,all,0.012808205
h4,khan_yunis,all,0.755051011
h4,deir_balah,all,0.649686144
h4,gaza,all,0.766866521
h4,rafah,all,0.673683461
h4,north_gaza,all,0.667075429
h4_i,khan_yunis,all,0.752252592
h4_i,deir_balah,all,0.858152048
h4_i,gaza,all,0.739569825
h4_i,rafah,all,0.848754749
h4_i,north_gaza,all,0.823019227
h4_ii,khan_yunis,all,0.273301321
h4_ii,deir_balah,all,0.132599388
h4_ii,gaza,all,0.12074878
h4_ii,rafah,all,0.103613422
h4_ii,north_gaza,all,0.083942297
h4_iii,khan_yunis,all,0.086172197
h4_iii,deir_balah,all,0.06982928
h4_iii,gaza,all,0.212176937
h4_iii,rafah,all,0.279464545
h4_iii,north_gaza,all,0.053487041
h4_iv,khan_yunis,all,0.047820424
h4_iv,deir_balah,all,0.064633153
h4_iv,gaza,all,0.077042955
h4_iv,rafah,all,0.06487254
h4_iv,north_gaza,all,0.181149493
h4_v,khan_yunis,all,0.163251204
h4_v,deir_balah,all,0.095753924
h4_v,gaza,all,0.152755786
h4_v,rafah,all,0.191489504
h4_v,north_gaza,all,0.042844628
h4_vi,khan_yunis,all,0.008155045
h4_vi,deir_balah,all,0.003666542
h4_vi,gaza,all,0.017691583
h4_vi,rafah,all,0
h4_vi,north_gaza,all,0
h4_vii,khan_yunis,all,0
h4_vii,deir_balah,all,0
h4_vii,gaza,all,0
h4_vii,rafah,all,0
h4_vii,north_gaza,all,0
h4_viii,khan_yunis,all,0.054029642
h4_viii,deir_balah,all,0.047904245
h4_viii,gaza,all,0.02878391
h4_viii,rafah,all,0.128407949
h4_viii,north_gaza,all,0.012368253
h4_ix,khan_yunis,all,0.096212794
h4_ix,deir_balah,all,0.014724723
h4_ix,gaza,all,0.011553323
h4_ix,rafah,all,0.162504429
h4_ix,north_gaza,all,0.007817151
hp1_a,khan_yunis,all,0.119288521
hp1_a,deir_balah,all,0.13370285
hp1_a,gaza,all,0.134495666
hp1_a,rafah,all,0.17633035
hp1_a,north_gaza,all,0.194441141
hp1_b,khan_yunis,all,0.009078653
hp1_b,deir_balah,all,0.006923007
hp1_b,gaza,all,0.000843662
hp1_b,rafah,all,0.020122407
hp1_b,north_gaza,all,0.012858402
hp1_c,khan_yunis,all,0.006294569
hp1_c,deir_balah,all,0.008785279
hp1_c,gaza,all,0.000283336
hp1_c,rafah,all,0.014325225
hp1_c,north_gaza,all,0.030323901
hp1_d,khan_yunis,all,0.015373222
hp1_d,deir_balah,all,0.015708286
hp1_d,gaza,all,0.001126998
hp1_d,rafah,all,0.034447632
hp1_d,north_gaza,all,0.043182303
hp7,khan_yunis,all,0.455276671
hp7,deir_balah,all,0.319964257
hp7,gaza,all,0.412556481
hp7,rafah,all,0.420100376
hp7,north_gaza,all,0.355957784
hp8_i,khan_yunis,all,0.298512941
hp8_i,deir_balah,all,0.267841714
hp8_i,gaza,all,0.395468739
hp8_i,rafah,all,0.230197904
hp8_i,north_gaza,all,0.138570669
hp8_ii,khan_yunis,all,0.19606632
hp8_ii,deir_balah,all,0.18107762
hp8_ii,gaza,all,0.002469255
hp8_ii,rafah,all,0.351708914
hp8_ii,north_gaza,all,0.096516248
hp8_iii,khan_yunis,all,0.011554054
hp8_iii,deir_balah,all,0.059369805
hp8_iii,gaza,all,0
hp8_iii,rafah,all,0
hp8_iii,north_gaza,all,0.043261629
hp8_iv,khan_yunis,all,0.017277719
hp8_iv,deir_balah,all,0.021531694
hp8_iv,gaza,all,0.000635534
hp8_iv,rafah,all,0.021190733
hp8_iv,north_gaza,all,0.034564806
hp8_v,khan_yunis,all,0.08607396
hp8_v,deir_balah,all,0.199204351
hp8_v,gaza,all,0.318303548
hp8_v,rafah,all,0.106293518
hp8_v,north_gaza,all,0.172198325
hp8_vi,khan_yunis,all,0
hp8_vi,deir_balah,all,0.010926447
hp8_vi,gaza,all,0
hp8_vi,rafah,all,0.004603365
hp8_vi,north_gaza,all,0.021571849
hp8_vii,khan_yunis,all,0.313902709
hp8_vii,deir_balah,all,0.188607915
hp8_vii,gaza,all,0.253995581
hp8_vii,rafah,all,0.141557937
hp8_vii,north_gaza,all,0.45189379
hp8_viii,khan_yunis,all,0
hp8_viii,deir_balah,all,0
hp8_viii,gaza,all,0
hp8_viii,rafah,all,0
hp8_viii,north_gaza,all,0.013640087
hp8_ix,khan_yunis,all,0.006837836
hp8_ix,deir_balah,all,0.019175847
hp8_ix,gaza,all,0.004539746
hp8_ix,rafah,all,0
hp8_ix,north_gaza,all,0
hp8_x,khan_yunis,all,0.013905221
hp8_x,deir_balah,all,0.024276234
hp8_x,gaza,all,0.001888865
hp8_x,rafah,all,0
hp8_x,north_gaza,all,0
hp8_xi,khan_yunis,all,0
hp8_xi,deir_balah,all,0
hp8_xi,gaza,all,0
hp8_xi,rafah,all,0
hp8_xi,north_gaza,all,0
hp9,khan_yunis,all,0.458706598
hp9,deir_balah,all,0.468384131
hp9,gaza,all,0.278704593
hp9,rafah,all,0.292002335
hp9,north_gaza,all,0.476543284
hp10,khan_yunis,all,0.17158336
hp10,deir_balah,all,0.258024709
hp10,gaza,all,0.129538184
hp10,rafah,all,0.170728796
hp10,north_gaza,all,0.303417012
hp11,khan_yunis,all,0.369037978
hp11,deir_balah,all,0.338427368
hp11,gaza,all,0.205324576
hp11,rafah,all,0.182589333
hp11,north_gaza,all,0.308152169
hp12,khan_yunis,all,0.259323261
hp12,deir_balah,all,0.530361358
hp12,gaza,all,0.251424291
hp12,rafah,all,0.387847525
hp12,north_gaza,all,0.280043388
hp12_i,khan_yunis,all,0.535008043
hp12_i,deir_balah,all,0.428500273
hp12_i,gaza,all,0.534199552
hp12_i,rafah,all,0.454347406
hp12_i,north_gaza,all,0.095003166
hp12_ii,khan_yunis,all,0.501988909
hp12_ii,deir_balah,all,0.592551209
hp12_ii,gaza,all,0.545450048
hp12_ii,rafah,all,0.732602196
hp12_ii,north_gaza,all,0.344262924
hp12_iii,khan_yunis,all,0.801635183
hp12_iii,deir_balah,all,0.831772698
hp12_iii,gaza,all,0.906682313
hp12_iii,rafah,all,0.827340339
hp12_iii,north_gaza,all,0.854137652
hp13,khan_yunis,all,0.884164584
hp13,deir_balah,all,0.929781795
hp13,gaza,all,0.705912175
hp13,rafah,all,0.957039771
hp13,north_gaza,all,0.950058412
w1,khan_yunis,all,0.1974524
w1,deir_balah,all,0.162325906
w1,gaza,all,0.088441529
w1,rafah,all,0.178040319
w1,north_gaza,all,0.126532026
w1a,khan_yunis,all,0.024690447
w1a,deir_balah,all,0.012472189
w1a,gaza,all,0.040779461
w1a,rafah,all,0.096593004
w1a,north_gaza,all,0.005216759
w2,khan_yunis,all,0.980309533
w2,deir_balah,all,0.998045995
w2,gaza,all,0.972242671
w2,rafah,all,0.999408999
w2,north_gaza,all,0.995001351
ws1,khan_yunis,all,0.993849217
ws1,deir_balah,all,0.995130072
ws1,gaza,all,0.999748646
ws1,rafah,all,0.976414714
ws1,north_gaza,all,0.999028088
ws1a,khan_yunis,all,0.008328866
ws1a,deir_balah,all,0.010999238
ws1a,gaza,all,0.007598081
ws1a,rafah,all,0.006742735
ws1a,north_gaza,all,0.006975545
ws1b,khan_yunis,all,0.407111163
ws1b,deir_balah,all,0.488037676
ws1b,gaza,all,0.436113008
ws1b,rafah,all,0.417755268
ws1b,north_gaza,all,0.294093195
ws1c,khan_yunis,all,0.839383829
ws1c,deir_balah,all,0.92757223
ws1c,gaza,all,0.900992927
ws1c,rafah,all,0.906178402
ws1c,north_gaza,all,0.915070681
ws1b_i,khan_yunis,all,0.533068391
ws1b_i,deir_balah,all,0.90334488
ws1b_i,gaza,all,0.952616044
ws1b_i,rafah,all,0.831817877
ws1b_i,north_gaza,all,0.956191881
ws1b_ii,khan_yunis,all,0.32043345
ws1b_ii,deir_balah,all,0.041209728
ws1b_ii,gaza,all,0.023777201
ws1b_ii,rafah,all,0.100203612
ws1b_ii,north_gaza,all,0.017257894
ws1b_iii,khan_yunis,all,0.145185099
ws1b_iii,deir_balah,all,0.052565841
ws1b_iii,gaza,all,0.023402249
