dependent.var,repeat.var.value,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers
fl1_ii,north_gaza,female_headed,0.131706026,male_headed,0.257338763,refugees,0.200583587,non_refugees,0.362155973,in_camp_refugee,0.195488722,out_camp_refugee,0.201744106,NA,0.245403986
fl1_iii,khan_yunis,female_headed,0.161808744,male_headed,0.196300508,refugees,0.175094093,non_refugees,0.222262576,in_camp_refugee,0.153225806,out_camp_refugee,0.179666869,NA,0.192200429
fl1_iii,deir_balah,female_headed,0.15168694,male_headed,0.179012181,refugees,0.181280525,non_refugees,0.135581052,in_camp_refugee,0.194620432,out_camp_refugee,0.17377697,NA,0.17472809
fl1_iii,gaza,female_headed,0.023923918,male_headed,0.134479623,refugees,0.173471239,non_refugees,0.06420754,in_camp_refugee,0.196721311,out_camp_refugee,0.17066516,NA,0.125046855
fl1_iii,rafah,female_headed,0.203031016,male_headed,0.245546283,refugees,0.231508042,non_refugees,0.317599061,in_camp_refugee,0.1875,out_camp_refugee,0.240899249,NA,0.241093244
fl1_iii,north_gaza,female_headed,0.075724802,male_headed,0.103681755,refugees,0.067998635,non_refugees,0.187058196,in_camp_refugee,0.090225564,out_camp_refugee,0.06293574,NA,0.101025919
fl2_i,khan_yunis,female_headed,0.14910639,male_headed,0.238709924,refugees,0.2247592,non_refugees,0.233856972,in_camp_refugee,0.137096774,out_camp_refugee,0.243089886,NA,0.228058639
fl2_i,deir_balah,female_headed,0.141661067,male_headed,0.146954584,refugees,0.141042342,non_refugees,0.176488585,in_camp_refugee,0.165558987,out_camp_refugee,0.127251992,NA,0.146124659
fl2_i,gaza,female_headed,0.022263513,male_headed,0.131404617,refugees,0.107526884,non_refugees,0.140392515,in_camp_refugee,0.270491803,out_camp_refugee,0.087858453,NA,0.122092545
fl2_i,rafah,female_headed,0.096012328,male_headed,0.202240668,refugees,0.170475246,non_refugees,0.355848534,in_camp_refugee,0.1796875,out_camp_refugee,0.168509373,NA,0.191114337
fl2_i,north_gaza,female_headed,0.049940318,male_headed,0.173773629,refugees,0.13264117,non_refugees,0.238511679,in_camp_refugee,0.142857143,out_camp_refugee,0.130314155,NA,0.162009793
fl2_ii,khan_yunis,female_headed,0.04289814,male_headed,0.057801544,refugees,0.048273353,non_refugees,0.069661175,in_camp_refugee,0.008064516,out_camp_refugee,0.056681238,NA,0.056029958
fl2_ii,deir_balah,female_headed,0.016512001,male_headed,0.045490048,refugees,0.035636553,non_refugees,0.07267267,in_camp_refugee,0.044060919,out_camp_refugee,0.030897937,NA,0.040946828
fl2_ii,gaza,female_headed,0.001660405,male_headed,0.075173904,refugees,0.086233363,non_refugees,0.047126426,in_camp_refugee,0.106557377,out_camp_refugee,0.083780433,NA,0.068901629
fl2_ii,rafah,female_headed,0.040614738,male_headed,0.037097258,refugees,0.041802292,non_refugees,0.002852303,in_camp_refugee,0.078125,out_camp_refugee,0.034051117,NA,0.037465678
fl2_ii,north_gaza,female_headed,0.108405855,male_headed,0.067580749,refugees,0.058168032,non_refugees,0.106080535,in_camp_refugee,0.067669173,out_camp_refugee,0.056003843,NA,0.071459025
fl2_iii,khan_yunis,female_headed,0.006846867,male_headed,0.035198964,refugees,0.021717781,non_refugees,0.049597357,in_camp_refugee,0.008064516,out_camp_refugee,0.024572752,NA,0.031828714
